Manufacturer,Model,Price Display,Price
samsung,SM-G925F,"41,000.00",41000
OnePlus,ONEPLUS A6000,"44,000.00",44000
samsung,SM-N950F,"45,000.00",45000
samsung,SM-G970F,"47,900.00",47900
OPPO,CPH1955,"30,000.00",30000
samsung,SM-G960F,"31,900.00",31900
samsung,SM-C9000,"31,900.00",31900
OnePlus,LE2101,"39,999.00",39999
OnePlus,KB2001,"40,000.00",40000
samsung,SM-G965F,"41,990.00",41990
HUAWEI,DUK-L09,"30,000.00",30000
OnePlus,HD1911,"50,000.00",50000
realme,RMX2170,"32,000.00",32000
vivo,vivo 1805,"30,000.00",30000
OPPO,CPH1907,"30,000.00",30000
Xiaomi,M2007J3SP,"30,000.00",30000
Xiaomi,M2007J3SG,"30,000.00",30000
samsung,SM-P610,"32,000.00",32000
samsung,SM-A710F,"33,100.00",33100
samsung,SM-N920C,"33,900.00",33900
samsung,SM-N920T,"33,900.00",33900
LGE,LM-G850,"35,000.00",35000
Xiaomi,M2007J3SI,"35,000.00",35000
OnePlus,LE2121,"39,999.00",39999
OnePlus,IN2011,"40,000.00",40000
Apple,"iPhone8,4","40,000.00",40000
samsung,SM-G955F,"41,000.00",41000
samsung,SM-G955U,"41,000.00",41000
samsung,SM-G935F,"41,000.00",41000
samsung,SM-G900F,"41,000.00",41000
samsung,SM-G970U,"47,900.00",47900
samsung,SM-G780F,"49,000.00",49000
samsung,SM-N935F,"49,999.00",49999
samsung,SM-G885F,"50,000.00",50000
samsung,SM-G973F,"58,800.00",58800
samsung,SM-G980F,"58,800.00",58800
samsung,SM-G985F,"58,800.00",58800
samsung,SM-G975F,"58,800.00",58800
Apple,"iPhone10,1","75,000.00",75000
Apple,"iPhone10,6","75,000.00",75000
samsung,SM-G998B,"58,800.00",58800
LGE,LG-H930,"60,000.00",60000
Google,Pixel 3,"60,000.00",60000
Google,Pixel 4a,"60,000.00",60000
samsung,SM-N950U,"70,000.00",70000
Apple,"iPhone11,6","75,000.00",75000
Apple,"iPhone11,8","75,000.00",75000
Apple,"iPhone9,3","75,000.00",75000
samsung,SM-N980F,"80,000.00",80000
samsung,SM-N970F,"85,000.00",85000
Apple,"iPhone13,2","90,000.00",90000
Apple,"iPhone12,8","80,000.00",80000
samsung,SM-N960F,"93,000.00",93000
samsung,SM-N986B,"100,000.00",100000
samsung,SM-N975F,"100,000.00",100000
Google,Pixel 3 XL,"60,000.00",60000
Google,Pixel 3a,"60,000.00",60000
Google,Pixel 4 XL,"60,000.00",60000
